================ Training Loss (Sun Oct 12 00:50:40 2025) ================
================ Training Loss (Sun Oct 12 01:12:40 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.018, data: 0.086) , G_GAN: 0.769, G_L1: 16.024, D_real: 0.731, D_fake: 0.712

================ Training Loss (Sun Oct 12 01:34:51 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.018, data: 0.042) , G_GAN: 0.720, G_L1: 16.906, D_real: 0.692, D_fake: 0.716

[Rank 0] (epoch: 1, iters: 200, time: 0.018, data: 0.001) , G_GAN: 0.762, G_L1: 14.682, D_real: 0.696, D_fake: 0.711

[Rank 0] (epoch: 1, iters: 300, time: 0.018, data: 0.001) , G_GAN: 0.698, G_L1: 12.177, D_real: 0.690, D_fake: 0.672

[Rank 0] (epoch: 1, iters: 400, time: 0.025, data: 0.001) , G_GAN: 0.811, G_L1: 13.135, D_real: 0.712, D_fake: 0.624

[Rank 0] (epoch: 1, iters: 500, time: 0.018, data: 0.002) , G_GAN: 0.879, G_L1: 12.976, D_real: 0.764, D_fake: 0.604

[Rank 0] (epoch: 1, iters: 600, time: 0.018, data: 0.001) , G_GAN: 1.053, G_L1: 11.027, D_real: 0.638, D_fake: 0.673

[Rank 0] (epoch: 1, iters: 700, time: 0.018, data: 0.002) , G_GAN: 1.347, G_L1: 13.245, D_real: 0.457, D_fake: 0.484

[Rank 0] (epoch: 1, iters: 800, time: 0.018, data: 0.001) , G_GAN: 0.735, G_L1: 14.030, D_real: 0.574, D_fake: 0.763

[Rank 0] (epoch: 1, iters: 900, time: 0.018, data: 0.001) , G_GAN: 1.164, G_L1: 12.547, D_real: 0.505, D_fake: 0.695

[Rank 0] (epoch: 1, iters: 1000, time: 0.018, data: 0.001) , G_GAN: 0.749, G_L1: 11.433, D_real: 0.704, D_fake: 0.404

[Rank 0] (epoch: 1, iters: 1100, time: 0.018, data: 0.001) , G_GAN: 1.290, G_L1: 11.754, D_real: 0.192, D_fake: 0.947

[Rank 0] (epoch: 1, iters: 1200, time: 0.018, data: 0.001) , G_GAN: 0.819, G_L1: 14.219, D_real: 0.875, D_fake: 0.496

[Rank 0] (epoch: 1, iters: 1300, time: 0.018, data: 0.001) , G_GAN: 0.991, G_L1: 10.972, D_real: 0.639, D_fake: 0.371

[Rank 0] (epoch: 1, iters: 1400, time: 0.018, data: 0.001) , G_GAN: 1.313, G_L1: 14.745, D_real: 0.620, D_fake: 0.341

[Rank 0] (epoch: 1, iters: 1500, time: 0.018, data: 0.002) , G_GAN: 1.180, G_L1: 12.349, D_real: 0.341, D_fake: 0.989

[Rank 0] (epoch: 1, iters: 1600, time: 0.018, data: 0.001) , G_GAN: 1.786, G_L1: 12.332, D_real: 0.416, D_fake: 0.638

[Rank 0] (epoch: 1, iters: 1700, time: 0.018, data: 0.001) , G_GAN: 1.280, G_L1: 11.695, D_real: 0.391, D_fake: 0.341

[Rank 0] (epoch: 1, iters: 1800, time: 0.018, data: 0.001) , G_GAN: 1.731, G_L1: 15.258, D_real: 0.237, D_fake: 0.798

[Rank 0] (epoch: 1, iters: 1900, time: 0.018, data: 0.001) , G_GAN: 1.767, G_L1: 11.947, D_real: 0.222, D_fake: 0.188

[Rank 0] (epoch: 1, iters: 2000, time: 0.021, data: 0.002) , G_GAN: 1.564, G_L1: 10.909, D_real: 0.398, D_fake: 0.445

[Rank 0] (epoch: 1, iters: 2100, time: 0.018, data: 0.001) , G_GAN: 1.156, G_L1: 15.126, D_real: 1.426, D_fake: 0.085

[Rank 0] (epoch: 1, iters: 2200, time: 0.018, data: 0.001) , G_GAN: 1.085, G_L1: 13.320, D_real: 0.262, D_fake: 0.580

[Rank 0] (epoch: 1, iters: 2300, time: 0.018, data: 0.001) , G_GAN: 1.059, G_L1: 11.779, D_real: 0.728, D_fake: 0.336

[Rank 0] (epoch: 1, iters: 2400, time: 0.018, data: 0.001) , G_GAN: 1.565, G_L1: 16.733, D_real: 0.218, D_fake: 0.298

[Rank 0] (epoch: 1, iters: 2500, time: 0.018, data: 0.001) , G_GAN: 1.364, G_L1: 13.695, D_real: 0.371, D_fake: 1.680

[Rank 0] (epoch: 1, iters: 2600, time: 0.018, data: 0.002) , G_GAN: 0.575, G_L1: 10.337, D_real: 0.556, D_fake: 0.245

[Rank 0] (epoch: 1, iters: 2700, time: 0.018, data: 0.001) , G_GAN: 1.527, G_L1: 14.379, D_real: 0.302, D_fake: 0.159

[Rank 0] (epoch: 1, iters: 2800, time: 0.018, data: 0.002) , G_GAN: 1.679, G_L1: 16.145, D_real: 0.135, D_fake: 0.352

[Rank 0] (epoch: 1, iters: 2900, time: 0.018, data: 0.001) , G_GAN: 1.602, G_L1: 13.928, D_real: 0.225, D_fake: 0.386

[Rank 0] (epoch: 1, iters: 3000, time: 0.018, data: 0.001) , G_GAN: 1.559, G_L1: 14.232, D_real: 0.198, D_fake: 0.761

[Rank 0] (epoch: 1, iters: 3100, time: 0.018, data: 0.001) , G_GAN: 0.854, G_L1: 14.669, D_real: 0.615, D_fake: 0.363

[Rank 0] (epoch: 1, iters: 3200, time: 0.018, data: 0.001) , G_GAN: 0.883, G_L1: 15.924, D_real: 0.786, D_fake: 0.357

[Rank 0] (epoch: 1, iters: 3300, time: 0.018, data: 0.001) , G_GAN: 0.834, G_L1: 15.878, D_real: 0.525, D_fake: 1.309

[Rank 0] (epoch: 1, iters: 3400, time: 0.018, data: 0.001) , G_GAN: 0.316, G_L1: 12.435, D_real: 0.788, D_fake: 0.389

[Rank 0] (epoch: 1, iters: 3500, time: 0.018, data: 0.001) , G_GAN: 2.051, G_L1: 14.572, D_real: 0.192, D_fake: 0.756

[Rank 0] (epoch: 1, iters: 3600, time: 0.018, data: 0.001) , G_GAN: 2.536, G_L1: 13.670, D_real: 0.111, D_fake: 0.912

